CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp
72,143,1,6,7,6,6,4,6,6,6,6,6,5,5,5,6,7,4,5,4,6,4,5,7,6,5,4,5,7,3,3,5,5,6,2,6,6,5,6,5,5,4,5.75,5.5,6.5,6,6.25,5.75,6.5,6,4.75,5.5,3.75,4.75,5.25,5.5,6.25,4.5,5.5,5.75,5,5.5,3.25,6,6.25,5.5,5.25,3.75,6,5.75,3.25,4.5,5.5,4.25,5,3.25,5,5.5,4.75,6.25,5.25,6.25
73,145,1,7,7,7,7,6,7,7,4,7,7,4,7,7,7,7,4,7,7,4,NA,4,7,7,7,7,7,7,7,1,1,1,7,1,7,7,7,7,7,4,4,3,5.25,5.5,4.25,3.25,4.75,5.5,5.5,3,3.75,2.5,5,5.25,4,3.75,2.75,5,5.25,3.75,3.5,3.75,5.75,6,3.25,3.75,4,4.75,4.75,2.25,3.25,3.5,5,4.5,2.75,3.5,3.75,5.5,5,2.75,3.5
74,147,1,3,6,6,7,4,6,6,6,6,4,4,5,5,6,6,4,5,5,5,6,4,6,6,6,4,4,6,6,5,4,4,6,6,6,4,4,6,6,6,6,6,5.25,5.5,4.75,4.5,6,4.5,5.5,5.75,5.75,5.75,2.5,5,5,5.5,5.5,1.5,4.5,4.25,3.75,5.5,4.75,5.75,2.75,4.5,6.25,4.25,3,2,4.25,6,3.5,3,3.25,6.25,6.5,4.75,4.5,2.75,4.75
75,149,1,6,7,7,7,7,4,6,7,7,7,4,4,6,6,7,3,3,6,5,6,6,6,7,7,6,7,7,6,1,3,2,5,6,4,4,5,6,5,4,4,6,5.75,6.5,6.5,5.75,6.5,6,6,6.25,6,4.25,4,5.75,5.75,5.75,3.75,5.25,5.5,5.25,5.75,4.75,5,6,5.75,4.25,5.75,5.75,5.75,3.5,4.75,5.5,4.25,3.75,4.5,5.25,4.5,5,5,5.75,5.75
76,151,1,6,7,7,7,7,7,4,7,7,7,4,4,7,7,7,7,4,6,6,7,7,7,7,7,7,4,6,4,3,4,7,4,4,4,5,7,4,7,4,3,4.5,4.75,5,4.75,4.75,4.25,4.75,4.5,4.75,4.5,4.75,3.5,4.5,3,4.75,4.75,2.75,4.5,4,4.75,5,3.75,5.25,4.75,4.25,4.75,5,3,3,4.5,3.5,4.25,3.5,4.5,5,5,4.5,4.5,4,4.25
77,153,1,6,6,7,6,7,6,6,7,7,7,4,5,7,6,7,4,6,6,6,7,7,7,7,7,7,3,7,4,4,6,4,5,3,6,6,7,6,7,6,6,5.75,5.75,6,4.75,5,5.75,5.75,5.75,4.5,5.75,5,4.25,5.75,4.25,5.5,4.75,5.5,4.5,3.75,5.5,5.25,5.5,5.75,4.75,4.75,3.75,6,3.25,3,5.5,5.5,4.75,2.5,4.5,5,6,5,3.75,4.25,5.25
78,155,1,6,7,5,7,6,6,6,6,6,5,4,4,5,5,6,5,5,5,5,5,4,6,6,6,6,4,6,6,4,4,4,5,5,6,5,5,6,5,5,5,5.5,4.75,6.25,6,5.25,5.5,4.75,5.75,5.75,5.5,5.5,2.75,5.5,4.75,6.5,5.5,4.25,6.25,5,5.75,4,5.25,6.25,4,5.25,5.25,5.5,4.5,3.75,5.25,5,4.5,5,4.75,6.5,5,4.5,5.25,4.75,5.5
79,157,1,6,7,6,6,6,6,6,6,5,6,4,3,6,5,6,4,6,6,4,7,6,5,5,5,6,4,7,3,3,6,4,5,2,4,6,5,6,6,4,5,4.75,6,5,3.5,5,4.5,5.25,4.25,4.25,5.75,4.5,4.25,3.5,4,6.25,5.25,4.5,3.75,4.5,3.5,5.75,6.25,5.25,3.5,6.25,4.5,6,2.5,1.5,5,4.75,5.25,2.75,4.25,5.75,5.75,6,3.25,2.75,4.25
80,159,1,5,6,6,6,6,5,7,7,6,6,4,3,6,4,7,5,6,6,5,6,5,7,7,7,6,6,6,4,3,6,5,6,4,4,5,5,6,7,4,5,5.5,6,5.25,5,5,5.5,5.5,5.5,4.5,5.75,4,6,4.75,4.5,6,4.5,5.5,5,4.75,5,4,5.75,6,5.5,5.5,4.5,5.75,4.75,3,5,5.25,4.25,4.75,5.25,5.5,4.75,5.25,4.75,4.75,4.75
81,161,1,7,7,7,7,7,7,4,4,7,7,3,4,6,7,7,7,4,6,6,4,4,7,6,4,7,3,6,4,4,4,4,5,6,6,7,7,6,4,4,4,5.5,6,4,4.5,4.25,5.25,5,4.25,3.75,4.75,3.25,3.75,3.75,4.75,4.5,4.5,4.25,3.25,4,4,3.75,5.5,4.25,4.5,5,3.75,5.5,4.5,2.75,4.25,5.75,4.75,5,5.25,5.75,6,4.75,3.75,4.5,4
82,163,1,5,6,6,6,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,6.25,6.25,6.5,5.25,5,6.25,6,5.75,5.25,5.25,4.75,4.5,6,5.25,5.25,4.5,5.25,5.75,4.75,5.25,4.25,5.5,5.75,5.25,5,3.75,5.5,6,3,3.5,5.25,5.25,5.25,5,5,5.5,5.25,5.75,4,4
83,165,1,6,6,6,6,6,6,6,6,7,6,4,6,6,6,6,5,6,5,6,6,5,6,6,6,7,3,6,4,3,6,4,6,3,5,6,6,6,6,5,5,4.25,6.25,6.25,6,5,4.25,6,6.5,5.75,5.25,3.75,5.25,5.25,4.75,6,4,6,5.25,5,5.25,6,6.25,6,5.75,5.5,3.25,6,2.75,2.5,3.75,4,4.75,1.5,4.5,5.5,5.5,5.75,6.5,4,4.5
84,167,1,5,7,7,7,6,6,7,6,7,7,4,3,7,5,7,5,6,6,6,6,4,7,7,7,7,7,7,4,3,3,5,5,4,5,5,6,7,6,4,4,4.5,5.25,5,5.75,5,4.75,5.25,5.5,4.75,5,4.5,3.5,5.25,5,5.5,4.25,5.25,4.25,4,5.25,4.25,5,5,3.75,5.5,3.5,5.25,4.25,3.25,4.25,5,4,3.5,5,5.25,5.25,4.5,4.75,4.5,3.75
85,169,1,6,6,7,7,4,7,4,6,7,5,4,5,6,6,5,5,6,5,6,3,3,7,7,5,5,6,6,7,2,3,6,7,3,7,6,4,7,7,4,4,4.75,5.25,6,5.5,5.25,5.5,5.25,5.5,5.5,5.5,5,2.75,5.5,4.25,5.25,4.75,4,5,4.75,5.5,4.75,5,5.5,3.5,4.5,5.25,5.75,5,3.25,4.5,5.75,4.5,5,3.5,5,5.5,4.75,5.75,4.75,4.75
86,171,1,5,6,6,3,5,5,5,5,4,5,4,4,5,4,5,4,4,5,5,5,4,6,5,5,5,5,5,6,2,4,4,3,4,4,5,6,6,5,5,5,5.25,5,5.25,4.5,4.75,4.5,4.75,4.75,5,5,4,3.5,4.25,4.5,4.5,4,3.75,4.5,5,4.75,4.75,5,4.75,3.5,4.75,4.75,4.75,4.75,3.5,4,5,4.75,4.75,4.5,4.75,5.25,3.75,4.25,4.5,4.25
87,173,1,6,6,6,5,6,6,6,6,5,6,4,4,5,4,6,5,5,6,4,5,6,5,6,5,5,5,6,3,3,6,6,4,3,5,5,5,6,5,6,5,5.75,6,6,5.75,6.25,6,6,6,5,5.75,4.25,3.75,5,5.75,6.75,4.5,5,6,5,6.25,6,5.25,5.75,5,6,3.5,5.75,2.75,3,6,5.25,4.25,2,4.75,6,5.75,5,5.5,4.75,5.75
88,175,1,6,6,7,7,4,6,7,7,7,7,4,5,5,7,7,4,6,6,7,7,5,7,5,7,6,4,7,6,4,5,5,5,5,6,7,5,5,5,5,4,5.75,6.75,6,6,6,5.5,6,5.75,5,5.5,4,4.5,5,5,5.75,4,5,4.5,5.25,5,5,5.5,5.25,5.5,5.5,4.25,5.75,6,3,4.5,5.75,5,5.25,5,5.5,5.25,5,4.75,3.5,4.25
89,177,1,5,6,6,7,6,6,6,6,7,7,4,5,5,7,6,5,6,6,7,6,5,7,5,7,5,4,6,4,4,4,6,6,4,5,6,7,5,7,4,4,4.5,5.75,6.25,6.25,5,4.75,5,6,5.5,5,5,3.5,5.75,5,5,4.75,4,5.25,5,5.25,4.5,5.5,5.25,4.75,4.25,5,5.25,4,3.75,4.25,4.25,3.5,4.5,5,4.5,5.5,3.25,6.25,4.25,5
90,179,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,181,1,7,7,7,7,4,6,5,6,6,6,4,4,6,6,7,4,4,5,6,6,6,7,7,7,5,5,6,6,4,4,5,6,4,7,7,7,7,7,4,4,4.75,6,6.25,6.75,4.25,5,6,6.75,6.25,5,4.75,4.25,6,6,4.75,3.5,5,6,5.75,6,5.5,6,6.5,5.75,4.75,3.75,6,5.5,3.5,2.75,4.75,5.5,5.5,4.25,4.5,5.25,4.5,6,5.75,4.5
92,183,1,5,6,5,6,5,5,5,6,5,5,4,4,5,6,6,4,5,5,5,5,5,6,6,5,4,5,6,4,5,5,5,5,4,6,5,5,6,5,5,5,5.5,5.75,6,5.5,5.5,5.75,5,6,5,5.75,5,4.25,5,5.75,5.75,5.5,3.75,4.75,4.25,5.5,5,5.5,5.75,3.75,4.5,5,5,4.5,3.5,5,5.25,4.25,3.5,5.25,5,5.5,5,5.5,4.75,5.25
93,185,1,4,5,5,4,5,3,2,5,3,5,4,5,5,5,5,4,4,3,5,5,5,5,5,4,5,4,5,2,3,4,5,5,5,5,3,5,5,4,6,3,5,4.75,5.5,5.25,4.5,4.75,5,5.25,5.5,4.75,4.5,4.25,5.5,5,4.25,4.75,4.75,5.75,4.25,4.25,5,5.75,5.75,4.25,5.25,5.25,5,6,3.25,3.5,4.5,4,4.5,4.75,4.75,5,4.25,5.5,4,4.25
94,187,1,5,7,7,6,5,6,6,7,6,6,4,4,5,6,6,5,6,4,6,6,5,7,5,7,6,6,7,3,3,4,5,5,4,5,5,6,5,5,5,4,5,6.5,6.5,4.25,5,6,6.5,6,4.75,5,3.5,5.5,6.25,4,5,3.75,6.25,5.5,4.75,4.5,3.75,4.75,6.25,4.75,5.5,3.5,5.75,4.75,2.5,5,4.5,5.5,4.25,3.75,5,5.25,6,5.75,4.25,4
95,189,1,5,7,7,7,7,6,4,7,6,7,5,4,5,5,6,4,4,5,6,5,4,5,6,5,5,4,6,4,3,4,4,5,4,5,5,5,6,6,5,5,3.75,4.75,5.75,3.75,5.5,3.75,4,4.75,5,5,4.25,4.25,4.5,5,4.75,4,4,4.75,4.75,5,4.75,3,3.5,4.5,4.5,3.5,5,4.25,4.25,4.25,4.5,3,3.25,4.75,4.75,4,3.5,4.75,3.5,5
96,191,1,5,5,7,6,5,5,6,6,6,6,4,4,5,6,7,5,7,6,6,5,6,6,5,5,5,5,6,4,3,5,4,5,4,5,5,6,5,6,5,5,4.75,4.25,5,4,6,4.5,5.5,5,4,6.75,4.5,5,3.75,4.5,6.75,4.75,4.5,3.25,4.25,5.25,5.5,5.75,5,3.75,4.75,4,5.25,4,4,4.75,5.75,3.75,2.75,4.25,6,5.75,4.75,4.5,4,6
97,193,1,5,6,6,5,6,6,5,6,6,7,4,4,5,5,7,5,5,5,4,5,5,5,6,4,5,5,6,5,3,6,4,5,6,4,5,6,6,5,3,4,6.25,6.75,6.75,5,5.75,6.75,6.5,6.75,5.75,6.5,5,4.25,6.25,5.25,6.75,5,4.5,5.5,5,6.75,4,6.5,7,4,5.25,4.5,6.75,6,2.25,5.25,6.25,5.5,5.25,4.75,5.75,6.75,6.5,5.75,5.5,6.25
98,195,1,6,7,7,7,6,6,6,7,6,6,5,NA,6,6,7,6,7,7,6,6,6,7,6,6,6,6,7,4,2,6,6,3,5,6,6,6,3,5,5,5,4,4.25,5,5,4.25,4.75,5,5,4.5,5,3,4.5,5.25,4.25,5,3.5,4,4.5,4,4.25,4,4.75,5.25,4.25,4,4.5,4.75,4.75,3,4.75,3.5,3.75,4.25,4.75,3.75,3.75,4.25,4.25,3.75,4
99,197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,6,5.25,5.75,4,5.25,5.25,5.5,5.25,4.75,3.5,5.25,5,5,4.75,3.75,6,4.25,5,4.5,2.25,6.25,4.5,5.5,4,4.75,5.5,5.75,3.25,3.25,4.75,4.5,4.75,5,4.75,6,5.25,4.25,3.75,3
100,199,1,5,5,7,4,7,6,6,7,5,7,4,2,7,6,7,5,5,6,5,7,7,7,7,5,7,4,6,1,2,7,7,4,3,5,7,6,6,6,7,7,4.25,5.25,6.5,4.75,6.25,5.5,5.25,6,4.75,6,4.25,3,5.75,4.25,6.5,4.25,2.25,5,4.25,6,4.5,4.75,5.5,3.75,5,4.5,5.5,4,2.5,4.5,4,3.75,3.25,4,5.5,4.25,4.75,5,4.25,5
101,201,1,6,6,7,7,6,6,6,6,6,6,4,4,6,5,6,5,5,7,6,6,6,7,7,6,6,5,7,5,3,5,5,4,4,5,6,6,5,6,4,5,4.75,5.75,6.5,4.75,4.5,5.5,6,6.25,5.25,6.25,3.75,4.25,5.75,4,6.25,4.75,5.5,5.25,4.25,5.5,4.75,5.5,5,4.75,4.25,4.25,5.75,4.75,2.25,4.75,4.5,4,4.75,3.75,5,5,4.5,5.75,4,5
102,203,1,6,6,7,5,4,6,4,6,5,6,4,4,4,5,6,5,4,4,5,6,6,4,6,4,6,5,5,3,3,6,6,4,3,5,7,6,5,5,4,4,5,6,6.5,4.25,4.75,4,5.25,6.5,3.25,6.25,3.75,3.5,5.25,3.75,6.75,4.25,4.5,4.75,3.5,6,4.75,5,4.75,4,5.5,3.25,6,3.75,2.5,5.5,5,5.25,2.25,4.5,5.5,5,5.5,4.75,3.5,4.75
103,205,1,6,7,7,7,7,6,5,7,7,7,4,4,6,7,7,6,3,6,7,7,7,7,7,7,6,4,7,4,3,4,6,4,2,4,7,7,7,6,4,3,5,6,6,5.75,5,5.5,5.75,5.25,4.5,5.25,4.25,4,4.75,5,5.5,4.75,5,5.5,5.25,5.75,4.25,5.25,5.5,4.5,4.5,4.5,5.25,4.25,2.5,5.5,5.5,4.25,3,4.5,5.5,5.75,5.25,5.75,4.25,5
104,207,1,6,6,6,7,5,7,6,6,6,7,5,5,5,7,7,5,6,5,6,2,7,6,6,6,5,6,6,5,3,5,5,4,5,4,5,6,5,6,5,5,4.75,5.5,6.5,3.5,5,4.25,5,5.25,5.5,5.75,4,4.75,5.5,5.25,6.5,4,5,5.75,5,5.5,5.75,5.25,6.5,6,4.75,3.5,5.75,4.25,3.75,5.75,3.5,4.75,4.5,3.75,5,4.75,4.75,5.75,5.25,5.5
105,209,1,5,7,7,7,5,6,6,7,6,6,4,5,6,4,6,5,5,6,5,7,4,5,5,6,6,5,6,4,4,5,5,5,4,3,5,5,5,6,5,4,5,6,6.5,5.5,5.25,6,6,5.25,4.25,5.5,4,5,6.5,4.5,5.5,3.75,4.25,6.25,5,6,5.25,6.25,6.25,3,5.75,6.5,6,6.25,1.25,3.25,4.25,5.5,4.75,4.5,5,4.75,5.75,6.5,4.25,4.5
106,211,1,6,6,6,5,6,6,6,6,6,6,4,4,6,6,6,4,6,6,6,6,4,5,6,4,6,6,6,6,4,4,6,6,4,6,6,6,6,6,6,6,6.75,6.5,6.75,4.75,5.25,6.5,5.5,6.75,5.25,6.25,6.25,2.25,5.5,4,6.5,6,2.5,5.25,4.25,6.25,4.25,5,6.75,2,6.25,6.25,5.25,5.5,1.75,6,6.75,4,4.75,4.25,6.25,6.5,5.75,5.25,3,5
107,213,1,6,6,7,7,6,6,7,7,7,7,4,4,6,6,7,6,7,7,7,7,5,5,7,7,7,4,7,6,4,6,4,6,6,7,7,7,6,7,7,6,5.5,6.25,6.5,5.25,5.25,5.75,6,6.25,5.5,5.25,3.75,3.75,5.5,5.25,5.5,4,5.25,5,5,5.25,5,6,6,5.25,4.5,3.5,6.25,5.75,3.25,4.25,3.25,5.25,6,4.25,5.75,5.75,5,6,4.75,5.25
