CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp
3,5,1,5,6,6,6,5,6,7,6,7,5,6,4,5,7,6,6,7,5,6,7,6,7,5,5,6,4,6,3,3,4,6,5,3,7,6,4,6,5,4,6,5.25,5.25,4.5,5.5,6,4.25,4.75,4,5.5,6.25,5,3.5,3.75,5.75,6.25,4.25,4.25,1.75,4.5,5.25,6,4.25,4.75,4.5,5.75,5.75,5,2,2.75,4.5,5,3.75,1.75,6.75,5.5,5,4.75,4.75,3.5,5.25
4,7,1,6,6,7,7,6,7,5,7,7,7,6,6,7,7,6,6,6,7,7,6,5,7,7,6,5,7,7,6,3,3,4,6,6,7,6,7,5,7,6,7,4.75,6,6.5,6,5,5.5,5.75,6.25,5.5,5.5,4.75,4,5.75,4.25,5.75,5,4.25,5.5,3.75,4.75,4.5,5.5,5.75,4.25,4.5,4.75,5.5,5.5,2.75,4.5,5,4.75,4.75,5.25,4.25,4.75,4.5,6,4.25,4.5
5,9,1,5,7,7,1,5,6,6,6,7,7,4,4,6,7,6,4,5,6,7,6,6,7,7,7,4,5,7,4,2,5,7,6,4,7,6,7,4,6,4,5,6.25,6.25,6.5,6,5.25,5.5,5.75,6,6,5.5,5.5,3.75,5.75,5.75,6,5.75,3.75,6,5.75,5.75,5.25,5,5.5,5.25,4.75,5.25,5.5,5.25,4.25,4.5,4.75,4.5,4.75,4,5.25,6,4.75,5.25,3.75,4
6,11,1,6,6,7,6,6,6,6,7,6,7,3,5,6,6,6,5,6,6,6,6,6,7,6,6,6,6,7,6,3,4,4,5,5,4,5,5,5,5,5,6,5.25,5.5,6.25,3.25,5,4.25,5.75,7,4.75,6,4.25,3.5,6.25,5.5,6.25,4.5,4.5,5,4.75,6,4.5,5,6.25,4.5,5.25,5,6,6.75,2.25,4.75,3.75,4.5,5.5,5,5.75,5.25,4.75,6.25,5,4.5
7,13,1,5,6,6,6,6,6,6,6,6,7,5,3,6,6,7,6,6,4,5,7,6,6,6,6,7,6,7,2,3,5,5,5,1,7,7,6,6,4,4,6,5,5.25,5.75,5.75,6,5.25,5.5,6,5.75,6,4,3.5,5.5,5.75,5.75,4.25,4,4.5,4.75,6.25,5.5,4.25,5.75,4.75,5.75,4.5,5.5,3.75,3.5,4.75,4.75,3.75,2.75,5.25,6.25,4.25,5.25,5.25,4.25,5.75
8,15,1,6,6,6,7,6,6,4,6,7,6,4,4,4,6,6,6,4,4,6,6,4,3,6,4,6,6,6,2,2,4,6,4,2,5,6,6,4,4,4,4,6.25,5.5,6.5,6.25,4.25,6,5.75,6.25,5.75,5.5,5.75,3.5,5.75,5.5,5.75,5.5,4.5,5,4.5,5.25,5.25,4.5,6.5,5.5,5,5.25,5.5,3.5,2.75,4.25,5.25,4,2.5,5.5,5.5,5.5,5,4.5,5,3.25
9,17,1,5,6,5,5,4,5,6,6,5,6,4,4,4,4,5,4,4,6,5,4,4,6,6,5,5,4,5,4,4,4,4,4,4,4,5,5,4,5,4,4,5.5,6.25,5.5,5.25,5,6.25,6.5,5.75,5.75,5.5,4.75,4,5.25,5.5,5,5.25,5,5,5,5,3.75,6.5,5.25,4.5,6.25,5.25,5.75,3.75,3,3.75,5.25,5.25,4.5,5.25,5.25,5.75,5.75,5,4.75,4
10,19,1,6,7,7,4,5,5,6,7,6,7,4,4,6,6,7,5,4,4,5,5,4,7,6,4,6,6,6,4,2,4,NA,4,4,4,6,5,6,6,6,4,3.75,5.75,6.5,6.25,5.75,5.25,6.25,6.5,5.25,5.75,3,3.75,6,4.75,6,3.5,5,4.25,5.25,5.25,4.25,5.25,5.75,5.75,5.75,3.75,6,5.75,3.75,5.25,3.5,4.75,4,5.5,5.75,4.5,4,5.75,4.75,4.75
11,21,1,5,6,6,6,4,5,4,5,7,6,4,4,4,6,6,4,5,4,5,4,6,6,4,4,4,3,6,4,4,4,4,5,4,6,6,5,5,4,4,4,5.25,5.5,5.5,4.5,4.25,5.75,5.25,5.75,5.75,5.25,4.5,3.75,5.5,4,5.25,4,3.5,5,4.75,4.5,4.25,5.25,5.75,3,5,4.5,5.5,5.5,2.5,4.75,5.5,3.5,5.25,4,5.75,5.5,4.75,5,4.75,4.75
12,23,1,4,7,7,2,5,4,6,6,7,7,2,6,5,5,6,3,5,4,6,5,3,7,6,6,4,5,6,4,3,3,3,4,3,6,6,4,5,6,6,4,3.5,6,6,5.25,4.25,5.25,5.75,5.75,5,5.5,4,5,4.5,4,5.5,4,3.5,4.25,4.25,4.5,4.5,5.25,5.75,4,4.75,4.25,5.75,5.25,3,3.25,4.75,4.25,4.75,3,5,4.5,5.75,4.5,4,4
